team_name,team_logo,name,position,picture,country,age
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Joshua Kimmich,MF,https://fbref.com/req/202302030/images/headshots/49296448_2022.jpg,de GER,29
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Dayot Upamecano,DF,https://fbref.com/req/202302030/images/headshots/d248cd8f_2022.jpg,fr FRA,25
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Kim Min-jae,DF,https://fbref.com/req/202302030/images/headshots/e0f8151c_2022.jpg,kr KOR,27
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Harry Kane,FW,https://fbref.com/req/202302030/images/headshots/21a66f6a_2022.jpg,eng ENG,31
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Manuel Neuer,GK,https://fbref.com/req/202302030/images/headshots/8778c910_2022.jpg,de GER,38
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Michael Olise,FW,https://fbref.com/req/202302030/images/headshots/c4486bac_2022.jpg,fr FRA,22
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Aleksandar Pavlovic,MF,https://fbref.com/req/202302030/images/headshots/2658c82f_2022.jpg,de GER,20
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Serge Gnabry,FW,https://fbref.com/req/202302030/images/headshots/88e357ef_2022.jpg,de GER,29
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Jamal Musiala,MF,https://fbref.com/req/202302030/images/headshots/2c0558b8_2022.jpg,de GER,21
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Alphonso Davies,DF,https://fbref.com/req/202302030/images/headshots/d781d855_2022.jpg,ca CAN,23
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Raphaël Guerreiro,DF,https://fbref.com/req/202302030/images/headshots/048a1cbc_2022.jpg,pt POR,30
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Kingsley Coman,FW,https://fbref.com/req/202302030/images/headshots/042e8a49_2022.jpg,fr FRA,28
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Sacha Boey,DF,https://fbref.com/req/202302030/images/headshots/6c8ddd52_2022.jpg,fr FRA,24
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,Thomas Müller,MF,https://fbref.com/req/202302030/images/headshots/3c6089ab_2022.jpg,de GER,35
Bayern Munich,https://cdn.ssref.net/req/202409272/tlogo/fb/054efa67.png,João Palhinha,MF,https://fbref.com/req/202302030/images/headshots/a78ff07f_2022.jpg,pt POR,29
