team_name,squad_link,last_match,next_match
Barcelona,https://fbref.com/en/squads/206d90db/Barcelona-Stats,Alavés,Sevilla
Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats,Villarreal,Celta Vigo
Atlético Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats,Real Sociedad,Leganés
Villarreal,https://fbref.com/en/squads/2a8183b3/Villarreal-Stats,Real Madrid,Getafe
Osasuna,https://fbref.com/en/squads/03c57e2b/Osasuna-Stats,Getafe,Real Betis
Athletic Club,https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats,Girona,Espanyol
Mallorca,https://fbref.com/en/squads/2aa12281/Mallorca-Stats,Espanyol,Rayo Vallecano
Rayo Vallecano,https://fbref.com/en/squads/98e8af82/Rayo-Vallecano-Stats,Valladolid,Mallorca
Celta Vigo,https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats,Las Palmas,Real Madrid
Betis,https://fbref.com/en/squads/fc536746/Real-Betis-Stats,Sevilla,Osasuna
Girona,https://fbref.com/en/squads/9024a00a/Girona-Stats,Athletic Club,Real Sociedad
Sevilla,https://fbref.com/en/squads/ad2be733/Sevilla-Stats,Real Betis,Barcelona
Alavés,https://fbref.com/en/squads/8d6fd021/Alaves-Stats,Barcelona,Valladolid
Espanyol,https://fbref.com/en/squads/a8661628/Espanyol-Stats,Mallorca,Athletic Club
Real Sociedad,https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats,Atlético Madrid,Girona
Getafe,https://fbref.com/en/squads/7848bd64/Getafe-Stats,Osasuna,Villarreal
Leganés,https://fbref.com/en/squads/7c6f2c78/Leganes-Stats,Valencia,Atlético Madrid
Valencia,https://fbref.com/en/squads/dcc91a7b/Valencia-Stats,Leganés,Las Palmas
Valladolid,https://fbref.com/en/squads/17859612/Valladolid-Stats,Rayo Vallecano,Alavés
Las Palmas,https://fbref.com/en/squads/0049d422/Las-Palmas-Stats,Celta Vigo,Valencia
