team_name,team_logo,name,position,picture,country,age
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Virgil van Dijk,DF,https://fbref.com/req/202302030/images/headshots/e06683ca_2022.jpg,nl NED,33
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Ryan Gravenberch,MF,https://fbref.com/req/202302030/images/headshots/b8e740fb_2022.jpg,nl NED,22
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Mohamed Salah,FW,https://fbref.com/req/202302030/images/headshots/e342ad68_2022.jpg,eg EGY,32
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Trent Alexander-Arnold,DF,https://fbref.com/req/202302030/images/headshots/cd1acf9d_2022.jpg,eng ENG,26
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Alexis Mac Allister,MF,https://fbref.com/req/202302030/images/headshots/83d074ff_2022.jpg,ar ARG,25
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Ibrahima Konaté,DF,https://fbref.com/req/202302030/images/headshots/5ed9b537_2022.jpg,fr FRA,25
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Dominik Szoboszlai,MF,https://fbref.com/req/202302030/images/headshots/934e1968_2022.jpg,hu HUN,23
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Alisson,GK,https://fbref.com/req/202302030/images/headshots/7a2e46a8_2022.jpg,br BRA,32
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Andrew Robertson,DF,https://fbref.com/req/202302030/images/headshots/2e4f5f03_2022.jpg,sct SCO,30
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Diogo Jota,FW,https://fbref.com/req/202302030/images/headshots/178ae8f8_2022.jpg,pt POR,27
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Luis Díaz,FW,https://fbref.com/req/202302030/images/headshots/4a1a9578_2022.jpg,co COL,27
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Cody Gakpo,FW,https://fbref.com/req/202302030/images/headshots/1971591f_2022.jpg,nl NED,25
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Curtis Jones,MF,https://fbref.com/req/202302030/images/headshots/4fb9c88f_2022.jpg,eng ENG,23
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Darwin Núñez,FW,https://fbref.com/req/202302030/images/headshots/4d77b365_2022.jpg,uy URU,25
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Kostas Tsimikas,DF,https://fbref.com/req/202302030/images/headshots/f315ca93_2022.jpg,gr GRE,28
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Caoimhín Kelleher,GK,https://fbref.com/req/202302030/images/headshots/62d7ef38_2022.jpg,ie IRL,25
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Jarell Quansah,DF,https://fbref.com/req/202302030/images/headshots/4125cb98_2022.jpg,eng ENG,21
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Conor Bradley,DF,https://fbref.com/req/202302030/images/headshots/bbd67769_2022.jpg,nir NIR,21
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Federico Chiesa,FW,https://fbref.com/req/202302030/images/headshots/b0f7e36c_2022.jpg,it ITA,26
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Vitezslav Jaros,GK,https://fbref.com/req/202302030/images/headshots/12bb4d6a_2022.jpg,cz CZE,23
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Harvey Elliott,FW,https://fbref.com/req/202302030/images/headshots/c8387671_2022.jpg,eng ENG,21
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Wataru Endo,MF,https://fbref.com/req/202302030/images/headshots/c149016b_2022.jpg,jp JPN,31
Liverpool,https://cdn.ssref.net/req/202409272/tlogo/fb/822bd0ba.png,Joe Gomez,DF,https://fbref.com/req/202302030/images/headshots/7a11550b_2022.jpg,eng ENG,27
Manchester City,https://cdn.ssref.net/req/202409272/tlogo/fb/b8fd03ef.png,Ederson,GK,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg,br BRA,31
