team_name,squad_link,last_match,next_match
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats,Crystal Palace,Chelsea
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats,Fulham,Wolverhampton Wanderers
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats,Southampton,Bournemouth
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats,Nottingham Forest,Liverpool
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats,Manchester United,Fulham
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Tottenham Hotspur,Newcastle United
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats,Everton,Brighton & Hove Albion
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats,Manchester City,Aston Villa
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats,Brighton & Hove Albion,West Ham United
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats,Chelsea,Crystal Palace
Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats,Wolverhampton Wanderers,Manchester United
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats,Ipswich Town,Tottenham Hotspur
Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats,Leicester City,Arsenal
Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats,Aston Villa,Brentford
Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats,Bournemouth,Southampton
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats,Newcastle United,Ipswich Town
Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats,West Ham United,Everton
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats,Liverpool,Nottingham Forest
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats,Arsenal,Leicester City
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Brentford,Manchester City
